Lutz Heuser,SAP Corporate Research Walldorf,The Relevance of Management of Business Processes and Orchestration,2009,no Author no Title,no Date,0,0,0,1
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Fruja, N.G. Towards proving type safety of ",2008,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Fruja, N.G., Börger, E. Modeling the ",2006,1,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Gurevich, Y. Reconsidering Turing’s Thesis: Toward more realistic semantics of programs",1984,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Gurevich, Y. A new thesis",1985,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Gurevich, Y. Evolving algebras 1993: Lipari Guide",1995,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Gurevich, Y. Interactive algorithms 2005 with added appendix",2006,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Hoare, C.A.R., Misra, J., Leavens, G.T., Shankar, N. The verified software initiative: a manifesto",2009,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Hoare, C. Communicating Sequential Processes",1985,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"ter Hofstede, A., van der Aalst, W., Adams, M., Russell, N. (eds.) Modern Business Process Automation",2010,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Kim, C.H.P., Batory, D., Khurshid, S. Reducing combinatorics in testing product lines",2011,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Knuth, D. Literate Programming, CSLI Lecture Notes",1992,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Milner, R. A Calculus of Communication Systems",1980,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,OMG Business Process Model and Notation ,2011,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Parnas, D.L., Madey, J. Functional documents for computer systems",1995,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Schellhorn, G. Verifikation abstrakter Zustandsmaschinen",1999,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Schellhorn, G. Verification of ASM refinements using generalized forward simulation",2001,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Schellhorn, G. ASM refinement and generalizations of forward simulation in data refinement: A comparison",2005,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Schellhorn, G., Ahrendt, W. Reasoning about Abstract State Machines: The WAM case study",1997,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Schellhorn, G., Ahrendt, W. The WAM case study: Verifying compiler correctness for Prolog with KIV",1998,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,Semiconductor Industry Assoc. International technologoy roadmap for semiconductors,2005,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Sneed, S.H. Exporting Natural Language: Generating NL Sentences Out of S-BPM Process Models",2010,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Stärk, R.F., Schmid, J., Börger, E. Java and the Java Virtual Machine: Definition, Verification, Validation",2001,1,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Tarski, A. Der Wahrheitsbegriff in den formalisierten Sprachen",1936,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Uzuncaova, E., Khurshid, S., Batory, D. Incremental test generation for software product lines",2011,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Wirth, N. Algorithms & Data Structures",1975,0,0,0,0
Egon Börger,Dipartimento di Informatica Università di Pisa,The Subject-Oriented Approach to Software Design and the Abstract State Machines Method,2012,"Here the file for the correct text of the appendix of [63] can be, downloaded, <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /www",4270,0,0,0,1
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Argyris, C. Theory in practice: increasing professional effectiveness, 1st ed",1992,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Bernstein, A. How can cooperative work tools support dynamic group process? bridging the specificity frontier",2000,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Firestone, J.M., McElroy, M.W. Key issues in the new knowledge management",2003,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Firestone, J.M., McElroy, M.W. Doing knowledge management",2005,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2009,1,1,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Fleischmann, A., Schmidt, W., Stary, C., Obermeier, S., Börger, E. Subjektorientiertes Prozessmanagement: Mitarbeiter einbinden, Motivation und Prozessakzeptanz steigern",2011,1,1,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Gadatsch, A. Management von Geschäftsprozessen: Methoden und Werkzeuge für die IT-Praxis eine Einführung für Studenten und Praktiker",2001,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Gottanka, R., Meyer, N. ModelAsYouGo: ",2012,1,1,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Hammer, M. What is business process management? In: vom Brocke, J",2010,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Huth, C., Nastansky, L. GroupProcess: partizipatives",2000,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Meyer, N., Feiner, T., Radmayr, M., Blei, D., Fleischmann, A. Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach",2010,1,1,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Meyer, N., Radmayr, M., Heininger, R., Rothschädl, T., Fleischmann, A. Platform for Managing and Routing Cross-Organizational Business Processes on a Network Router",2011,1,1,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Oppl, S. Subject-Oriented Elicitation of Distributed Business Process Knowledge",2011,1,1,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Popper, K. Alles Leben ist Problemlösen: über Erkenntnis, Geschichte und Politik, 4",1995,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Sadiq, S., Sadiq, W., Orlowska, M. Pockets of Flexibility in Workflow Specification",2001,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Stoitsev, T., Scheidl, S., Spahn, M. A Framework for Light-Weight Composition and Management of Ad-Hoc Business Processes",2007,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Swenson, K. Mastering the unpredictable: how adaptive case management will revolutionize the way that knowledge workers get things done",2010,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Voorhoeve, M., Van der Aalst, W. Ad-hoc workflow: problems and solutions, pp",1997,0,0,0,0
Thomas Rothschädl,Metasonic AG Pfaffenhofen,Ad-Hoc Adaption of Subject-Oriented Business Processes at Runtime to Support Organizational Learning,2012,"Wassink, I., Van Der Vet, P., van Dijk, E., van der Veer, G., Roos, M. New interactions with workflow systems",2009,0,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Kurz, M., Fleischmann, A. BPM 2",2010,1,1,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Kurz, M., Fleischmann, A. BPM 2",2010,1,1,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Kurz, M., Fleischmann, A. BPM 2",2010,1,1,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Kern, A. Advanced Features for Enterprise-Wide Role-Based Access Control",2002,0,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Kern, A. Advanced Features for Enterprise-Wide Role-Based Access Control",2002,0,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Kern, A. Advanced Features for Enterprise-Wide Role-Based Access Control",2002,0,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Ferraiolo, D.F., Sandhu, R., Gavrila, S., Kuhn, D.R., Chandramouli, R. Proposed NIST Standard for Role-Based Access Control",2001,0,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Ferraiolo, D.F., Sandhu, R., Gavrila, S., Kuhn, D.R., Chandramouli, R. Proposed NIST Standard for Role-Based Access Control",2001,0,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Ferraiolo, D.F., Sandhu, R., Gavrila, S., Kuhn, D.R., Chandramouli, R. Proposed NIST Standard for Role-Based Access Control",2001,0,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,Wolfgang Martin Team S.A.R.L. Martin Active Compliance Management with Subject-oriented BPM ,2010,0,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,Wolfgang Martin Team S.A.R.L. Martin Active Compliance Management with Subject-oriented BPM ,2010,0,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,Wolfgang Martin Team S.A.R.L. Martin Active Compliance Management with Subject-oriented BPM ,2010,0,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Lawall, A., Reichelt, D., Schaller, T. Intelligente Verzeichnisdienste",2011,1,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Lawall, A., Reichelt, D., Schaller, T. Intelligente Verzeichnisdienste",2011,1,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Lawall, A., Reichelt, D., Schaller, T. Intelligente Verzeichnisdienste",2011,1,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Lawall, A., Reichelt, D., Schaller, T. Flexible Role-based Access Control",2010,1,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Lawall, A., Reichelt, D., Schaller, T. Flexible Role-based Access Control",2010,1,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Lawall, A., Reichelt, D., Schaller, T. Flexible Role-based Access Control",2010,1,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozessmanagement",2009,1,1,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Sellner, A., Zinser, E. Establishing Conceptual and Functional Links between S-BPM and Business Rules",2010,1,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Sellner, A., Zinser, E. Establishing Conceptual and Functional Links between S-BPM and Business Rules",2010,1,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Sellner, A., Zinser, E. Establishing Conceptual and Functional Links between S-BPM and Business Rules",2010,1,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Schaller, T. Organisationsverwaltung in CSCW-Systemen",1998,1,0,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Schaller, T. Organisationsverwaltung in CSCW-Systemen",1998,1,0,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Schaller, T. Organisationsverwaltung in CSCW-Systemen",1998,1,0,0,0
Alexander Lawall,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Fleischmann, A., Schmidt, W., Stary, C., Obermeier, S., Börger, E. Subjektorientiertes Prozessmanagement, Mitarbeiter einbinden, Motivation und Prozessakzeptanz steigern ",2011,1,1,0,0
Thomas Schaller,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Fleischmann, A., Schmidt, W., Stary, C., Obermeier, S., Börger, E. Subjektorientiertes Prozessmanagement, Mitarbeiter einbinden, Motivation und Prozessakzeptanz steigern ",2011,1,1,0,0
Dominik Reichelt,Hof University Institute of Information Systems Hof,An Approach towards Subject-Oriented Access Control,2012,"Fleischmann, A., Schmidt, W., Stary, C., Obermeier, S., Börger, E. Subjektorientiertes Prozessmanagement, Mitarbeiter einbinden, Motivation und Prozessakzeptanz steigern ",2011,1,1,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Sens, B. Wie Pfade wirklich funktionieren",2010,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Senge, P.M. The Fifth Discipline: The Art & Practice of The Learning Organization",2006,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Health Consumer Powerhouse Euro Health Consumer Index, Brüssel, Stockholm ",2007,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Friesdorf, W., Marsolek, I. Changemanagement im Krankenhaus",2009,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,Österreichisches Bundesministerium für Gesundheit The Austrian Health Care System,2010,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,Österreichische Gemeinde-Zeitung Kann die Gesundheitsreform ihre Ziele erreichen?,2011,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Schmidjell, R. Dem Gesundheitssystem in Österreich fehlen Zielvorgaben ",2008,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,Bundesministerium für Gesundheit Österreichischer Strukturplan Gesundheit – ÖSG 2010 ,2010,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,Bundesministerium für Gesundheit Regionale Strukturpläne Gesundheit ,2011,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,Bundesgesetzblatt für die Republik Österreich 105,2008,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"WKO (Wirtschaftskammer Österreich) Schelling fordert Paradigmenwechsel im Gesundheitssystem: Einheitliche Gesundheitsziele, mehr Qualitätskontrolle und Prävention ",2010,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Hoffmann, O. Performance Management-Systeme und Implementierungsansätze, 2nd edn",2000,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,EFQM The EFQM Framework for Managing External Resources,2006,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Kreis, R. (ed.) Wörterbuch zur Ethik des Rupert Lay",2002,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Krause, O. Performance Management",2006,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Luhman, N. Soziologische Aufklärung 4: Beiträge zur funktionalen Differenzierung der Gesellschaft, 3rd edn",2005,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Simon, F.B. Einführung in die systemische Organisationstheorie, 3rd edn",2011,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Marsolek, I., Friesdorf, W. Work Systems and Process Analysis in Health Care",2006,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Simon, F.B. Einführung in Systemtheorie und Konstruktivismus, 4th edn",2009,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Reif, M. Die Grenzen der Innovation",2010,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,Fonds Gesundes Österreich Empowerment,2011,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Reimer, M. Verhaltensbedingte Hürden als Gegenstand des Changemanagement",2009,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Star, S.L., Griesemer, J.R. Institutional Ecology, ‘Translations’ and Boundary Objects: Amateurs and Professionals in Berkeley’s Museum of Vertebrate Zoology, 1907–1939",1989,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Fischer, G. Social Creativity: Turning Barriers into Opportunities for Collaborative Design",2004,0,0,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Heftberger, S., Stary, C. Partizipatives organisationales Lernen",2004,1,1,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Fleischmann, A., et al. Subjektorientiertes Prozessmanagement",2011,1,1,0,0
Martina Augl,"TILAK - Tiroler Landeskrankenanstalten GmbH, Organisationsentwicklung, Abteilung Medizin Innsbruck",Building a Conceptual Roadmap for Systemic Change – A Novel Approach to Change Management in Expert Organizations in Health Care,2012,"Allee, V. Value Network Analysis and Value Conversion of Tangible and Intangible Assets",2008,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Auinger, A., Fürlinger, S., Stary, C. Interactive Annotations in Web-based Learning Environments",2004,1,1,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Ausubel, D.P. Educational Psychology, A Cognitive View",1968,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Brusilovsky, P. Adaptive and Intelligent Technologies for Web-based Education",1999,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Cañas, A.J., et al. A Summary of Literature Pertaining to the Use of Concept Mapping Techniques and Technologies for Education and Performance Support",2003,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Cassata, A.E., French, L. Using concept mapping to facilitate metacognitive control in precschool children",2006,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Chang, S., Hassanein, E., Hsieh, S.-Y. A Multimedia Micro-University",1998,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Deroin, R.E., Fritzsche, B., Salas, E. E-Learning in Organizations",2005,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Glinz, M. Modellierung in der Lehre an Hochschulen: Thesen und Erfahrungen",2008,0,0,0,0
Matthias Neubauer,"Department of Business, Information Systems – Communications Engineering Johannes Kepler University Linz",E-Learning Support for Business Process Modeling: Linking Modeling Language Concepts to General Modeling Concepts and Vice Versa,2012,"Harasim, L. A Framework for Online Learning: The Virtual-U",1999,0,0,0,0
