Lutz Heuser,SAP Corporate Research Walldorf,2009,The Relevance of Management of Business Processes and Orchestration,no Author no Title,no Date,0,0,1
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Randolph, A.W. Re-thinking Empowerment",2000,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"McAfee, A. Eine Definition von Enterprise 2",2008,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Kotter, J.P., Schlesinger, L.A. Choosing Strategies in Change",2008,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Neuberger, O. Mikropolitik und Moral in Organisationen",2006,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Picot, A., Reichwald, R., Wigand, R.T. Die grenzenlose Unternehmung",2001,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Böhle, F., Bolte, A. Die Entdeckung des Informellen",2002,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Hauschildt, J., Salomo, S. Innovationsmanagement",2007,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Schmelzer, H.J., Sesselmann, W. (eds.) Geschäftsprozessmanagement in der Praxis",2008,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Reichwald, R., Möslein, K., Huff, A.S., Kölling, M., Neyer, A.-K. Service Innovation, Leipzig ",2008,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Davison, R.M., Martinsons, M.G., Kock, N. Principles of Canonical Action Research",2004,0,0,0
Matthias Kurz and Albert Fleischmann,Information Systems II University of Erlangen-Nuremberg,2010,BPM 2.0: Business Process Management Meets Empowerment,"Busemann, K., Gscheidle, C. Web 2",2009,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Allweyer, T. Kollaborationen, Choreographien und Konversationen in BPMN 2",2009,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Barros, A., Dumas, M., ter Hofstede, A.H.M. Service Interaction Patterns",2005,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Decker, G., Kirov, M., Zaha, J.M., Dumas, M. Maestro for Lets Dance: An Environment for Modeling Service Interactions",2006,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Decker, G., Zaha, J.M., Dumas, M. Execution Semantics for Service Choreographies ",2006,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Fleischmann, A. What is S-BPM Rohrbach ",2009,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Grefen, et al. Internet-Based Support for Process-Oriented Instant Virtual Enterprises",2009,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Hoare, C.A.R. An axiomatic basis for computer programming",1969,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Mehandjiev, N., Grefen, P. Dynamic Business Process Formation for Instant Virtual Enterprises",2010,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Milner, R. Communicating and Mobile Systems - the Pi-Calculus",1999,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Pieper, R., Kouwenhoven, V., Hamminga, S. Behond the Hype - e-Business Strategy in Leading European Companies",2001,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Timmers, P. Electronic Commerce - Strategies and Models for Business-to-Business Trading",1999,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Zaha, J.M., Barros, A., Dumas, M., ter Hofstede, A. Let’s dance: A language for service behavior modeling",2006,0,0,0
Nils Meyer and Thomas Feiner,Metasonic AG Pfaffenhofen,2010,Dynamic Catenation and Execution of Cross Organisational Business Processes - The jCPEX! Approach,"Ziemann, J., Matheis, T., Freiheit, J. Modelling of Cross-Organizational Business Processes - Current Methods and Standards",2007,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Algermissen, L., Instinsky, M., vor der Pähler Holte, N. Prozessmanagement im Zeichen von Dienstleistungen: Eine methodische Unterstützung zur Umsetzung der Dienst-leistungsrichtlinie",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Allweyer, R. Kollaborationen, Choreographien und Konversationen in BPMN 2",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Alpar, P., Olbrich, S. Legal Requirements and Modelling of Processes in e-Government",2005,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Ami, T., Sommer, R. Comparison and evaluation of business process modelling and management tools",2007,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Becker, J., Algermissen, L., Falk, T. Prozessorientierte Verwaltungsmodernisierung Prozessmanagement im Zeitalter von E-Government und New Public Management",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Behjat, S. Wertschöpfungsprozesse der öffentlichen Verwaltungen als Grundlage von e-Government ",2003,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Brüggemeier, M., Ecker, K.-P., Knopp, M., Schilling, P., Steffens, P., Tschichholz, M. FRESKO die effiziente Prozessketten-Verbindung zwischen Unternehmen und Verwaltungen",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Brüggemeier, M., Schulz, S. Datenpointernetzwerk: Informationsintegration für eine vernetz arbeitende, transparentere und weniger spürbare Verwaltung der Zukunft",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Charalabidis, Y., Lampathaki, F., Psarras, J. Combination of Interoperability Registries with Process and Data Management Tools for Governmental Services Transformation",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Cherbakova, L., Galambos, G., Harishankar, R., Kalyana, S., Rackham, G. Impact of service orientation at business level",2005,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Corradini, F., Polini, A., Polzonetti, A., Re, B. Formal Methods to Assess and Improve Public Administration Service Delivery Processes",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Corradini, F., Hinkelmann, K., Polini, A., Polzonetti, A., Re, B. C2ST: A Quality Framework to Evaluate E-Government Service Delivery",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Dahinden, M. VEKTOR Wirkungsorientierte Ressourcensteuerung im Netz der diplomatischen und konsularischen Vertretungen der Schweiz ",2007,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Guthier, T., Hünemohr, H. eBundesrat: Referenzprozess für die elektronische Vor-gangsbearbeitung in Bundesratsangelegenheiten",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Hach, H. Evaluation und Optimierung kommunaler E-Government-Prozee ",2005,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Heer, I., Walser, K., Wälti, D., Gehrke, J. Agrardatenbankenvernetzung in der Schweiz mittels SOA Das IT-Programm ASA2011 ",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Lenk, K. Verwaltungsinformatik als Modernisierungschance Strategien, Modelle, Erfahrungen Aufsätze 1988-2003, edition sigma, Berlin ",2004,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Lenk, K., Schuppan, T., Schaffroth, M. Organisationskonzept für das E-Government Schweiz, White Paper eCH and Federal Strategy Unit for IT ",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Licker, J., Mayer, A., Kaiser, S. Modulare Einführung für eine bedarfsorientierte Unterstützung der Vorgangsbearbeitung",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Müller, W., Schmid, B., Schroth, C., Janner, T. Design Rules for Swiss eGovernment Version 1",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Olbrich, S. Modellierung von Geschäftsprozessen unter Berücksichtigung des Gesetztes Auf dem Weg zur prozessorientierten Gesetzgebung",2008,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Olbrich, S. Modellierung gesetzlicher Rahmenbedingungen für E-Government-Prozesse mit Beispielen aus der Metropolregion Rhein-Neckar, Gabler, Wiesbaden ",2008,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Petraviciute, Z., Kulvietis, G., Ostasius, E. SOA Approach for E-service",2006,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Pfister, M., Weber, B. Geschäftsprozessmanagement im Bereich der konsularischen Aufgaben ",2008,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Schaffroth, M. Interoperabilität und Geschäftsprozessmanagement im E-Government",2008,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Schedler, K., Proeller, I. New Public Management, Haupt/UTB, Bern et al ",2006,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Schuppan, T. E-Government Competencies: Looking Beyond Technology",2008,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Schweighofer, E., Geist, A., Heindl, G., Szücs, C. Komplexitätsgrenzen der Rechtsinformatik ",2008,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Simon, C., Olbrich, S. Integration Of Legal Constraints Into Business Process Models",2007,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Snellen, A., Zuurmond, I. From Bureacracy to Infocracy: Management through information architecture",1997,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Walser, K., Riedl, R. Skizzierung transorganisationaler modularer E-Government-Geschäftsarchitekturen ",2009,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Walser, K., Schaffroth, B.L. Verwaltungsprozessmanagement unter Ver-wendung des eCH-0096 BPM Starter Kits",2010,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Weerakkody, V., Baire, S., Choudrie, J. E-Government: The Need for Effective Process Management in the Public Sector",2006,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Wimmer, M., Traunmüller, R. Geschäftsprozessmodellierung in E-Government: eine Zwischenbilanz, eGov days ",2003,0,0,0
Konrad Walser and Marc Schaffroth,University of Applied Sciences Bern - Competence Center Public Management & E-Government Bern 22,2010,BPM and BPMN as Integrating Concepts in eGovernment - The Swiss eGovernment BPM Ecosystem,"Wolf, P., Jurisch, M., Krcmar, H. Analyse und Design von Prozessketten",2010,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Harmon, P. Business Rules and Business Processes",2009,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"von Halle, B., Goldberg, L. The Business Rule Revolution",2006,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Rosen, M., Lublinsky, B., Smith, K., Balcer, M. Applied SOA",2008,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"(OMG), O. BPMN 1.2., <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /www",2009,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Keller, N. Scheer Semantische Prozemodellierung auf der Grundlage Ereignisgesteuerter Prozeketten ",1992,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschftsprozessmanagement Praxis der Wirtschaftsinformatik ",2009,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Schacher, M., Grssle, P. Agile Unternehmen durch Business Rules",2006,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Morgan, T. Business Rules and Information Systems",2002,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Ross, R. Business Rule Concepts: Getting to the Point of Knowledge Business Rule Solutions ",2009,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Demey, J., Jarrar, M., Meersman, R. A Markup Language for ORM Business Rules",2002,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"El Kharbili, M., Keil, T. Bringing Agility to Business Process Management: Rules Deployment in SOA",2010,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"(W3C), W. XML Schema 1.1 Standard, <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /www",2004,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Business Rules Group The Business Motivation Model - Business Governance in a Volatile World (2007)<span class=""Occurrences""><span class=""Occurrence OccurrenceGS""><a target=""_blank"" rel=""noopener"" class=""google-scholar-link gtm-reference"" data-reference-type=""Google Scholar"" href=""https /scholar",2820,0,0,1
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Frankel, D. Model driven architecture",2003,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Hermans, L., van Stokkum, W. How business rules should be modeled and implemented in OO",1998,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Linehan, M.H. SBVR use cases",2008,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Charfi, A., Mezini, M. Hybrid Web Service Composition: Business Processes Meet Business Rules",2004,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Boley, H., Tabet, S., Wagner, G. Design Rationale of RuleML: A Markup Language for Semantic Web Rules",2001,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Havey, M. Essential Business Process Modeling",2005,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"zur Muehlen, M., Indulska, M., Kittel, K. Towards Integrated Modeling of Business Processes and Business Rules. In 19th Australasian Conference on Information Systems ",2008,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Hoheisel, A., Dollmann, T., Fellmann, M. EPK-Modellen in ausfhrbare Grid- und Cloud-Prozesse",2009,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Luckham, D. The Power of Events - An Introduction to Complex Event Processing in Distributed Enterprise Systems",2002,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"zur Muehlen, M., Indulska, M. Modeling languages for business processes and business rules: A representational analysis",2009,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Green, P., Rosemann, M. Perceived Ontological Weakness of Process Modelling Techniques: Further Evidence ",2002,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Rosemann, M., Recker, J., Indulska, M., Green, P. A Study of the Evolution of the Representational Capabilities of Process Modeling Grammars ",2006,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"(OMG), O. M. G. Semantics of Business Vocabulary and Business Rules, <span class=""ExternalRef""><a target=""_blank"" rel=""noopener"" href=""http /www",2008,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Spreeuwenberg, S., Healy, K. SBVR’s approach to controlled natural language ",2010,0,0,0
Alexander Sellner and Erwin Zinser,FH JOANNEUM – University of Applied Sciences Graz,2010,Establishing Conceptual and Functional Links between S-BPM and Business Rules,"Hepp, M., Leymann, F., Domingue, J., Wahler, A., Wahler, F.D. Semantic Business Process Management: A Vision Towards Using Semantic Web Services for Business Process Management ",2005,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Hepp, M., Leymann, F., Domingue, J., Wahler, A., Wahler, F.D. Semantic Business Process Management: A Vision Towards Using Semantic Web Services for Business Process Management ",2005,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"van Brocke, J., Rosemann, M. Handbook on Business Process Management 1: Introduction, Methods, and Information Systems",2010,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"van Brocke, J., Rosemann, M. (eds.) Handbook on Business Process Management 2: Strategic Alignment, Governance, People and Culture",2010,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Harmon, P. Business Process Change: A Guide for Business Managers and BPM and Six Sigma Professionals, 2nd edn",2007,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Jeston, J., Nelis, J. Business Process Management: Practical Guidelines to Successful Implementations, 2nd edn",2008,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Scheer, A.-W. Architektur integrierter Informationssysteme: Grundlagen der Unternehmensmodellierung, 2nd edn",1997,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Scheer, A.-W. ARIS: Vom Geschäftsprozess zum Anwendungssystem, 4th edn",2006,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,Object Management Group (OMG) Business Process Modeling Notation ,2009,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,Object Management Group (OMG) Business Process Model and Notation ,2009,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Rodenhagen, J. Ereignisgesteuerte Prozessketten ",2002,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,Office of Government Commerce (OGC) ITIL V3: Service Operation,2007,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"van der Aalst, W.M.P., ter Hofstede, A.H.M., Kiepuszewski, B., Barros, A.P. Workflow Patterns",2003,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Russell, N., ter Hofstede, A.H.M., van der Aalst, W.M.P., Mulyar, N. Workflow Control-Flow Patterns: A Revised View",2006,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Dumas, M., ter Hofstede, A.H.M. UML activity diagrams as a workflow specification language",2001,0,0,0
Jörg Rodenhagen and Florian Strecker,Acando GmbH Hamburg,2010,Using Multi-subjects for Process Synchronization on Different Abstraction Levels,"Russell, N., van der Aalst, W.M.P., ter Hofstede, A.H.M., Wohed, P. On the Suitability of UML 2",2006,0,0,0
